"The Bar Code Rebellion;Bar Code ;Suzanne Weyn;Kayla has resisted getting the bar code tattoo, even though its meant forfeiting a """"normal"""" life. Without the tattoo, shes an exile. But she cant stay an exile for long. . . . For reasons she doesnt completely understand - but will soon discover - Kayla is at the center of a lethal conspiracy that will soon threaten the very notion of freedom. Kayla can either give in to the bar code, or she can join the resistance and fight it. The choice, to her, is clear:Its time to fight.They want your identity.They want your freedom.They cant have them.The bar code rebellion.;Young Adult, Dystopia, Science Fiction, Fiction, Adventure, Romance, Teen, Fantasy, Futuristic, Mystery;265;Scholastic Inc;08/13/06;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443904080l/704609.jpg;"
"Moonglow;Darkest London;Kristen Callihan;Once the seeds of desire are sown . . .Finally free of her suffocating marriage, widow Daisy Ellis Craigmore is ready to embrace the pleasures of life that have long been denied her. Yet her new-found freedom is short lived. A string of unexplained murders has brought danger to Daisys door, forcing her to turn to the most unlikely of saviors . . .Their growing passion knows no bounds . . . Ian Ranulf, the Marquis of Northrup, has spent lifetimes hiding his primal nature from London society. But now a vicious killer threatens to expose his secrets. Ian must step out of the shadows and protect the beautiful, fearless Daisy, who awakens in him desires he thought long dead. As their quest to unmask the villain draws them closer together, Daisy has no choice but to reveal her own startling secret, and Ian must face the undeniable truth: Losing his heart to Daisy may be the only way to save his soul.;Romance, Paranormal, Paranormal Romance, Fantasy, Historical Romance, Historical, Steampunk, Werewolves, Magic, Urban Fantasy;384;Forever;07/31/12;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324219362l/13223523.jpg;"
"The Purge of Babylon;Purge of Babylon;Sam Sisavath;One night. That was all it took.  Creatures that once lived in the shadows, hidden from humankind, have risen, spreading like a plague across the globe over the course of a single night. Their numbers growing exponentially through infection, these seemingly unkillable creatures have swallowed up whole cities and collapsed unprepared governments.  Survivors call it The Purge.  Against all odds, a disparate group of survivors has emerged from that blood-soaked night that devastated the planet and reduced humanity to an endangered species. Among the survivors are two ex-Army Rangers, a businesswoman, and a third-year medical student. But surviving The Purge was one thing - staying alive is another matter entirely.  Hope exists in the countryside, in the form of a self-sustaining underground facility designed to withstand any calamity. But in order to reach its safety, the survivors must travel hundreds of treacherous miles, with the night - and the creatures that dwell within it - always at their backs.  The rules are simple: stay out of the dark, load up on silver bullets, and whatever you do, stay alive.  The road to salvation has begun.;Horror, Post Apocalyptic, Zombies, Fiction, Science Fiction, Apocalyptic, Dystopia, Thriller, Fantasy, Paranormal;483;Road to Babylon Media;12/13/13;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395513160l/19485109.jpg;"
"Aleutian Sparrow; ;Karen Hesse;In June 1942, seven months after attacking Pearl Harbor, the Japanese navy invaded Alaskas Aleutian Islands. For nine thousand years the Aleut people had lived and thrived on these treeless, windswept lands. Within days of the first attack, the entire native population living west of Unimak Island was gathered up and evacuated to relocation centers in the dense forests of Alaskas Southeast.  With resilience, compassion, and humor, the Aleuts responded to the sorrows of upheaval and dislocation. This is the story of Vera, a young Aleut caught up in the turmoil of war. It chronicles her struggles to survive and to keep community and heritage intact despite harsh conditions in an alien environment.;Historical Fiction, Poetry, Young Adult, World War II, Middle Grade, Historical, War, Fiction, Survival, Childrens;160;Margaret K. McElderry Books;05/01/05;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347939220l/5984.jpg;"
"The Night Land; ;William Hope Hodgson;This book contains now several HTML tables of contents that will make reading a real pleasure!The Sun has gone out: the Earth is lit only by the glow of residual vulcanism. The last few millions of the human race are gathered together in a gigantic metal pyramid, the Last Redoubt, under siege from unknown forces and Powers outside in the dark. These are held back by a Circle of energy, known as the """"air clog,"""" powered from the Earths internal energy. For millennia, vast living shapes - the Watchers - have waited in the darkness near the pyramid: it is thought they are waiting for the inevitable time when the Circles power finally weakens and dies. Other living things have been seen in the darkness beyond, some of unknown origins, and others that may once have been human.To leave the protection of the Circle means almost certain death, or worse, but as the story commences, the narrator establishes mind contact with an inhabitant of another, forgotten, Redoubt, and sets off into the darkness to find her.;Horror, Fantasy, Science Fiction, Fiction, Classics, Weird Fiction, Post Apocalyptic, Dying Earth, Dystopia, Science Fiction Fantasy;357;Borgo Press;11/01/01;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348444715l/970602.jpg;"
"Darklove;Dark Ink Chronicles;Elle Jasper;Utterly destroyed, or lost forever?This is the question that plagues Riley Poe. After her vampire lover, Eli Dupre, was seemingly murdered by a fallen angel, she receives word that hes actually trapped in an alternate dimension, where hell on earth is revealed and dark forces reign. Riley's been there before, and it nearly ripped her to pieces.But her efforts to find Eli are thwarted by a new foe: a powerful, unstoppable vampire is slaughtering humans. Riley knows how to handle a vamp, and with the WUP team by her side, shes determined to take down the rogue.But what she finds rocks her to the core, as she discovers a startling connection between the slaughter and Eli, who might not be missing after all and who might not be the same vampire she fell in love with.;Urban Fantasy, Vampires, Paranormal, Paranormal Romance, Fantasy, Romance;336;Signet;12/0313;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384296810l/15814895.jpg;"
"Pegasus in Space;The Talent;Anne McCaffrey;In a triumphant career spanning more than thirty years, Anne McCaffrey has won the devotion of millions of fans. Now she has written the exciting and long-awaited addition to her classic Pegasus series--and the perfect link to her bestselling Rowan saga . . .For an overpopulated Earth whose resources are strained to the breaking point, there is only one place to look for relief: straight up. With the successful completion of the Padrugoi Space Station, humanity has at last achieved its first large-scale permanent presence in space. But there are those who, for motives of their own, want Padrugoi to fail. Standing in their way are the Talented, men and women gifted with extraordinary mental powers that have made them as feared as they are respected--and utterly indispensable to the colonization effort. Now, as sabotage and attempted murder strike the Station, its up to the Talented to save the day. Only who is going to save the Talented?Pegasus in Space is the tale of Peter Reidinger, first Tower Prime!;Science Fiction, Fantasy, Science Fiction Fantasy, Fiction, Paranormal, Space, Adult, Audiobook, Speculative Fiction, Esp;448;Del Rey;02/27/01;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403189748l/61931.jpg;"
"The Girls From Alcyone;The Girls from Alcyone;Cary Caffrey;Sigrid and Suko are two girls from the impoverished and crime-infested streets of 24th century Earth. Sold into slavery to save their families from financial ruin, the girls are forced to live out their lives in service to the Kimura Corporation, a prestigious mercenary clan with a lineage stretching back long before the formation of the Federated Corporations. Known only to Kimura, the two girls share startling secret a rare genetic structure not found in tens of millions of other girls.But when their secret becomes known, Sigrid and Suko quickly find themselves at the center of a struggle for power. Now, hunted by men who would seek to control them, Sigrid and Suko are forced to fight for their own survival, and for the freedom of the girls from Alcyone.;Science Fiction, LGBT, Romance, Lesbian, Young Adult, Adventure, Fantasy, Fiction, Space Opera, Queer;316;Tealy Books;11/21/11;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327155584l/13120464.jpg;"
"Green Eggs and Ham ;      ; Dr. Seuss ; Do you like green eggs and ham? asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seusss beloved favorite has cemented its place as a childrens classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way. Originally created by Dr. Seuss, Beginner Books encourage children to read all by themselves, with simple words and illustrations that give clues to their meaning.;Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor, Kids, Food, Young Adult; 62 ; Random House Books for Young Readers ; 10/28/88 ;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100l/23772.jpg;"
"The Odyssey ;   ; Homer, Robert Fagles; Sing to me of the man, Muse, the man of twists and turnsdriven time and again off course, once he had plunderedthe hallowed heights of Troy.So begins Robert Fagles magnificent translation of the Odyssey, which Jasper Griffin in The New York Times Review of Books hails as """"a distinguished achievement.""""If the Iliad is the worlds greatest war epic, then the Odyssey is literatures grandest evocation of everymans journey though life.;Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure, Read For School, Historical Fiction; 541 ; Penguin Classics ; 11/30/06 ;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg;"
"Life of Pi ;     ; Yann Martel ; Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor """"Pi"""" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.; Fiction, Fantasy, Classics, Adventure, Contemporary, Novels, Literature, Magical Realism, India, Philosophy ; 460 ; Seal Books ; 08/29/06 ;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005l/4214.jpg;"
"A Tale of Two Cities; ; Charles Dickens ; After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.; Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School, Classic Literature, 19th Century, British Literature ; 489 ; Penguin Books ; 10/28/03 ;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg;"
"Water for Elephants ;    ; Sara Gruen ;Winner of the 2007 BookBrowse Award for Most Popular Book.An atmospheric, gritty, and compelling novel of star-crossed lovers, set in the circus world circa 1932, by the bestselling author of Riding Lessons. When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena.; Fiction, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary, Book Club, Novels, Animals ; 335 ; Algonquin Books ; 05/01/07 ;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973l/43641._SY475_.jpg;"
